kyomeishusei2015.00001.1.1： 脩相思、毌相忘。
kyomeishusei2015.01072.1.5： 彶玄e(ek)錫。
kyomeishusei2015.01072.1.6： 之流a(ak)澤。
kyomeishusei2015.01072.1.7： 恐f(ɑ)疏。
kyomeishusei2015.01072.1.8： 而日h(uɑŋ)忘。
kyomeishusei2015.01072.1.9： 懷糜i(i)美。
kyomeishusei2015.01072.1.10： 之窮j(əi)皚。
kyomeishusei2015.01072.1.11： 外承c(uɑn)驩。
kyomeishusei2015.01072.1.12： 之可k(uat)說。
kyomeishusei2015.01072.1.13： 窈佻d(iaŋ)景。
kyomeishusei2015.01072.1.14： 願永l(iə)思。
kyomeishusei2015.01072.1.15： 而m(iat)絕。
kyomeishusei2015.01073.1.1： 淸練銅a(ua)華。
kyomeishusei2015.01073.1.2： 雜錫銀b(uɑŋ)黃。
kyomeishusei2015.01073.1.3： 以成明c(iaŋ)鏡。
kyomeishusei2015.01073.1.4： 令名文d(ɑŋ)章。
kyomeishusei2015.01073.1.5： 延年益e(u)壽。
kyomeishusei2015.01073.1.6： 長樂未f(iɑŋ)央。
kyomeishusei2015.01073.1.7： 壽敝金h(ak)石。
kyomeishusei2015.01073.1.8： 與天爲f(iɑŋ)常。
kyomeishusei2015.01073.1.9： 善哉毌d(ɑŋ)傷。
kyomeishusei2015.01074.1.1： 湅治銅a(ua)華。
kyomeishusei2015.01074.1.2： 淸而b(iaŋ)明。
kyomeishusei2015.01074.1.3： 以之爲b(iaŋ)鏡。
kyomeishusei2015.01074.1.4： 冝文c(ɑŋ)章。
kyomeishusei2015.01074.1.5： 長年益d(u)壽。
kyomeishusei2015.01074.1.6： 去不c(ɑŋ)羊。
kyomeishusei2015.01074.1.7： 與天長d(u)久。
kyomeishusei2015.01074.1.8： 而日月之c(ɑŋ)光。
kyomeishusei2015.01074.1.9： 千萬e(ɑn)旦。
kyomeishusei2015.01074.1.10： 而未f(iɑŋ)央。
kyomeishusei2015.01075.1.1： 練治銅a(ua)華。
kyomeishusei2015.01075.1.2： 淸而b(iaŋ)明。
kyomeishusei2015.01075.1.3： 以之爲b(iaŋ)鏡。
kyomeishusei2015.01075.1.4： 冝文c(ɑŋ)章。
kyomeishusei2015.01075.1.5： 與天毌d(ik)極。
kyomeishusei2015.01075.1.6： 心不e(uɑŋ)忘。
kyomeishusei2015.01075.1.7： 義思平f(uəi)囘。
kyomeishusei2015.01075.1.8： 仁集h(iɑŋ)常。
kyomeishusei2015.01075.1.9： 天理增i(it)秩。
kyomeishusei2015.01075.1.10： 壽日c(ɑŋ)光。
kyomeishusei2015.01075.1.11： 福嗣未h(iɑŋ)央。
kyomeishusei2015.01076.1.1： 湅治銅a(ua)華。
kyomeishusei2015.01076.1.2： 淸明b(ə)而。
kyomeishusei2015.01076.1.3： 以之爲c(iaŋ)鏡。
kyomeishusei2015.01076.1.4： 因冝文d(ɑŋ)章。
kyomeishusei2015.01076.1.5： 長年益e(u)壽。
kyomeishusei2015.01076.1.6： 而去不d(ɑŋ)羊。
kyomeishusei2015.01076.1.7： 與天毌極b(ə)而。
kyomeishusei2015.01077.1.1： 湅治銅a(ua)華。
kyomeishusei2015.01077.1.2： 盡具b(ieŋ)淸。
kyomeishusei2015.01077.1.3： 以之爲c(iaŋ)鏡。
kyomeishusei2015.01077.1.4： 昭身d(eŋ)刑。
kyomeishusei2015.01077.1.5： 五色盡e(io)具。
kyomeishusei2015.01077.1.6： 正赤d(eŋ)靑。
kyomeishusei2015.01077.1.7： 畢長f(ɛŋ)生。
kyomeishusei2015.01078.1.1： 姚皎a(ɑŋ)光。
kyomeishusei2015.01078.1.2： 而＊1 b(i)美兮。
kyomeishusei2015.01078.1.3： 挾佳＊2。
kyomeishusei2015.01078.1.4： 而承c(ɛn)閒。
kyomeishusei2015.01078.1.5： 懷驩d(at)察。
kyomeishusei2015.01078.1.6： 而惟e(ɑ)豫兮。
kyomeishusei2015.01078.1.7： 愛存f(in)神。
kyomeishusei2015.01078.1.8： 而不h(ian)遷。
kyomeishusei2015.01078.1.9： 得竝i(et)埶。
kyomeishusei2015.01078.1.10： 而不j(oi)衰兮。
kyomeishusei2015.01078.1.11： 精昭＊3。
kyomeishusei2015.01078.1.12： 而侍k(un)君。
kyomeishusei2015.01079.1.1： 日有a(ɨ)憙。
kyomeishusei2015.01079.1.2： 月有b(u)富。
kyomeishusei2015.01079.1.3： 樂毌有c(ə)事。
kyomeishusei2015.01079.1.4： 冝酒d(iə)食。
kyomeishusei2015.01079.1.5： 居而必e(ɑn)安。
kyomeishusei2015.01079.1.6： 毌憂f(uan)患。
kyomeishusei2015.01079.1.7： 竽瑟c(ə)侍兮。
kyomeishusei2015.01079.1.8： 心志h(uɑn)驩。
kyomeishusei2015.01079.1.9： 樂已b(u)茂兮。
kyomeishusei2015.01079.1.10： 固常i(an)然。
kyomeishusei2015.01080.1： 日有憙，月有富，樂毌事，常得
kyomeishusei2015.01081.1.1： 君忘a(uɑŋ)忘。
kyomeishusei2015.01081.1.2： 而失b(ə)志。
kyomeishusei2015.01081.1.3： 舜使c(im)心。
kyomeishusei2015.01081.1.4： 臾d(a)者。
kyomeishusei2015.01081.1.5： 臾不可盡e(aŋ)行。
kyomeishusei2015.01081.1.6： 心沄f(et)結。
kyomeishusei2015.01081.1.7： 而獨h(u)愁。
kyomeishusei2015.01081.1.8： 明知i(ui)非。
kyomeishusei2015.01081.1.9： 不可j(ɑ)處。
kyomeishusei2015.01081.1.10： 志所k(uɑn)驩。
kyomeishusei2015.01081.1.11： 不能b(ə)已。
kyomeishusei2015.01082.1.1： 君忘a(uɑŋ)忘。
kyomeishusei2015.01082.1.2： 而失b(ə)志。
kyomeishusei2015.01082.1.3： 舜使c(im)心。
kyomeishusei2015.01082.1.4： 臾d(a)者。
kyomeishusei2015.01082.1.5： 臾不可盡e(aŋ)行。
kyomeishusei2015.01082.1.6： 心沄f(et)結。
kyomeishusei2015.01082.1.7： 而獨h(u)愁。
kyomeishusei2015.01082.1.8： 明知i(ui)非。
kyomeishusei2015.01082.1.9： 不可j(ɑ)處。
kyomeishusei2015.01082.1.10： 志所k(uɑn)驩。
kyomeishusei2015.01082.1.11： 不能b(ə)已。
kyomeishusei2015.01083.1.1： 浪淸a(ua)華兮。
kyomeishusei2015.01083.1.2： 精皎b(ak)白。
kyomeishusei2015.01083.1.3： 奄惠c(uɑŋ)防兮。
kyomeishusei2015.01083.1.4： 宣加b(ak)澤。
kyomeishusei2015.01083.1.5： 結徹d(an)顏兮。
kyomeishusei2015.01083.1.6： 似佳e(in)人。
kyomeishusei2015.01084.1.1： 内而a(ɑŋ)光。
kyomeishusei2015.01084.1.2： 明而b(ieŋ)淸。
kyomeishusei2015.01084.1.3： 湅石c(ua)華。
kyomeishusei2015.01084.1.4： 下之b(ieŋ)靑。
kyomeishusei2015.01084.1.5： 見已d(uŋ)弓。
kyomeishusei2015.01084.1.6： 知人b(ieŋ)菁。
kyomeishusei2015.01084.1.7： 心意e(ək)得。
kyomeishusei2015.01084.1.8： 樂長f(ɛŋ)生。
kyomeishusei2015.01085.1.1： 淸誏銅a(ua)華。
kyomeishusei2015.01085.1.2： 以爲b(iaŋ)鏡。
kyomeishusei2015.01085.1.3： 昭察衣c(uk)服。
kyomeishusei2015.01085.1.4： 觀容d(e)貎。
kyomeishusei2015.01085.1.5： 絲組雜e(əp)遝。
kyomeishusei2015.01085.1.6： 以爲f(in)信。
kyomeishusei2015.01085.1.7： 淸光h(ɑ)呼。
kyomeishusei2015.01085.1.8： 冝佳f(in)人。
kyomeishusei2015.01086.1.1： 日有a(ɨ)憙。
kyomeishusei2015.01086.1.2： 月有b(u)富。
kyomeishusei2015.01086.1.3： 樂毌c(ə)事。
kyomeishusei2015.01086.1.4： 冝酒d(iə)食。
kyomeishusei2015.01086.1.5： 居而必e(ɑn)安。
kyomeishusei2015.01086.1.6： 毌憂□。
kyomeishusei2015.01086.1.7： □□□□。
kyomeishusei2015.01086.1.8： □□f(uɑn)驩。
kyomeishusei2015.01086.1.9： 樂已c(ə)哉。
kyomeishusei2015.01087.1.1： 漢有善a(oŋ)銅。
kyomeishusei2015.01087.1.2： 出丹b(ɑŋ)陽。
kyomeishusei2015.01087.1.3： 和以銀c(ek)錫。
kyomeishusei2015.01087.1.4： 淸且d(iaŋ)明。
kyomeishusei2015.01087.1.5： e(ɑi)左。
kyomeishusei2015.01088.1.1： 尚方作鏡a(ə)哉。
kyomeishusei2015.01088.1.2： 眞大b(ou)好。
kyomeishusei2015.01088.1.3： 上有仙c(in)人。
kyomeishusei2015.01088.1.4： 不知b(ou)老。
kyomeishusei2015.01088.1.5： 渴飮玉d(ian)泉。
kyomeishusei2015.01088.1.6： 飢食b(ou)棗。
kyomeishusei2015.01088.1.7： 浮游天e(a)下。
kyomeishusei2015.01088.1.8： 敖四a(ə)海。
kyomeishusei2015.01088.1.9： 壽如今f(ak)石。
kyomeishusei2015.01088.1.10： 爲國b(ou)保。
kyomeishusei2015.01089.1.1： 昭匈a(iap)脅。
kyomeishusei2015.01089.1.2： 身萬b(ian)全。
kyomeishusei2015.01089.1.3： 象衣c(uk)服。
kyomeishusei2015.01089.1.4： 好可d(uɑn)觀。
kyomeishusei2015.01089.1.5： 冝佳e(in)人。
kyomeishusei2015.01089.1.6： 心意d(uɑn)驩。
kyomeishusei2015.01089.1.7： 長＊f(ə)志。
kyomeishusei2015.01089.1.8： 固常h(an)然。
kyomeishusei2015.01089.1.9： 食玉i(iaŋ)英。
kyomeishusei2015.01089.1.10： 飮醴b(ian)泉。
kyomeishusei2015.01089.1.11： 駕蜚j(ɔŋ)龍。
kyomeishusei2015.01089.1.12： 乘浮k(un)雲。
kyomeishusei2015.01089.1.13： 周復f(ə)始。
kyomeishusei2015.01089.1.14： 傳子l(uən)孫。
kyomeishusei2015.01090.1.1： 上大a(an)山。
kyomeishusei2015.01090.1.2： 見神b(in)人。
kyomeishusei2015.01090.1.3： 食玉c(iaŋ)英。
kyomeishusei2015.01090.1.4： 飮醴d(ian)泉。
kyomeishusei2015.01090.1.5： 參駕蜚e(ɔŋ)龍。
kyomeishusei2015.01090.1.6： 乘浮f(un)雲。
kyomeishusei2015.01090.1.7： 長萬h(en)年。
kyomeishusei2015.01090.1.8： i(ɨai)冝。
kyomeishusei2015.01091.1.1： 精善佳竟a(ə)哉。
kyomeishusei2015.01091.1.2： 眞大b(ou)好。
kyomeishusei2015.01091.1.3： 上有仙c(in)人。
kyomeishusei2015.01092.1.1： 作佳鏡a(ə)哉。
kyomeishusei2015.01092.1.2： 眞大b(ɑn)蘭。
kyomeishusei2015.01092.1.3： 上有禽c(u)守。
kyomeishusei2015.01092.1.4： 相因d(ian)連。
kyomeishusei2015.01092.1.5： 湅治銅e(ek)錫。
kyomeishusei2015.01092.1.6： 自生f(un)文。
kyomeishusei2015.01092.1.7： 昭君面h(uk)目。
kyomeishusei2015.01092.1.8： 白黑f(un)分。
kyomeishusei2015.01092.1.9： 大夫i(ok)慾。
kyomeishusei2015.01092.1.10： 市入臣j(ən)門。
kyomeishusei2015.01092.1.11： 不爭賈k(ik)直。
kyomeishusei2015.01092.1.12： 貴其j(ən)恩。
kyomeishusei2015.01093.1.1： 新有善a(oŋ)銅。
kyomeishusei2015.01093.1.2： 出丹b(ɑŋ)陽。
kyomeishusei2015.01093.1.3： 和巳銀c(ek)錫。
kyomeishusei2015.01093.1.4： 淸且d(iaŋ)明。
kyomeishusei2015.01093.1.5： 左龍右e(ɑ)乕。
kyomeishusei2015.01093.1.6： 主四b(ɑŋ)彭。
kyomeishusei2015.01093.1.7： 八子九孫f(ə)治。
kyomeishusei2015.01094.1.1： 新有善a(oŋ)銅。
kyomeishusei2015.01094.1.2： 出丹b(ɑŋ)陽。
kyomeishusei2015.01094.1.3： 和以銀c(ek)錫。
kyomeishusei2015.01094.1.4： 淸而d(iaŋ)明。
kyomeishusei2015.01094.1.5： d(iaŋ)竟。
kyomeishusei2015.01095.1.1： 新有善a(oŋ)同。
kyomeishusei2015.01095.1.2： 出丹b(ɑŋ)陽。
kyomeishusei2015.01095.1.3： 和以c(ek)錫。
kyomeishusei2015.01095.1.4： 淸且d(iaŋ)明。
kyomeishusei2015.01095.1.5： 左龍右e(ɑ)乕。
kyomeishusei2015.01095.1.6： 主四f(uɑŋ)方。
kyomeishusei2015.01095.1.7： 朱雀玄h(uɑ)武。
kyomeishusei2015.01095.1.8： 循陰b(ɑŋ)陽。
kyomeishusei2015.01095.1.9： 子孫i(io)具。
kyomeishusei2015.01095.1.10： 治中j(iɑŋ)央。
kyomeishusei2015.01096.1.1： 昭圓a(uk)目。
kyomeishusei2015.01096.1.2： 身萬b(ion)全。
kyomeishusei2015.01096.1.3： 象衣a(uk)服。
kyomeishusei2015.01096.1.4： 好可c(uɑn)觀。
kyomeishusei2015.01096.1.5： 君冝官d(it)秩。
kyomeishusei2015.01096.1.6： 葆e(iə)子。
kyomeishusei2015.01097.1.1： 駕非a(ɔŋ)龍。
kyomeishusei2015.01097.1.2： 無浮b(un)雲。
kyomeishusei2015.01097.1.3： 上大c(an)山。
kyomeishusei2015.01097.1.4： 見神d(in)人。
kyomeishusei2015.01097.1.5： 食玉e(iaŋ)英。
kyomeishusei2015.01097.1.6： 飮禮f(ian)泉。
kyomeishusei2015.01097.1.7： 冝官h(it)秩。
kyomeishusei2015.01097.1.8： 葆子i(uən)孫。
kyomeishusei2015.01098.1.1： 桼言上a(iə)紀。
kyomeishusei2015.01098.1.2： 從竟b(ə)始。
kyomeishusei2015.01098.1.3： 湅治銅c(ek)錫。
kyomeishusei2015.01098.1.4： 去惡b(ə)宰。
kyomeishusei2015.01098.1.5： 長葆二d(in)親。
kyomeishusei2015.01098.1.6： 利孫a(iə)子。
kyomeishusei2015.01099.1.1： 延熹三a(en)年。
kyomeishusei2015.01099.1.2： 五月丙午b(it)日。
kyomeishusei2015.01099.1.3： 造c(ɑk)作。
kyomeishusei2015.01099.1.4： 尚方明d(iaŋ)竟。
kyomeishusei2015.01099.1.5： 廣漢西e(ok)蜀。
kyomeishusei2015.01099.1.6： 幽湅三f(ɑŋ)商。
kyomeishusei2015.01099.1.7： 天王日h(iɑt)月。
kyomeishusei2015.01099.1.8： 位至三i(oŋ)公兮。
kyomeishusei2015.01099.1.9： 山j(in)人。
kyomeishusei2015.01100.1.1： 吾作明a(iaŋ)竟。
kyomeishusei2015.01100.1.2： 幽湅三b(ɑŋ)岡。
kyomeishusei2015.01100.1.3： 巧工c(ək)刻之。
kyomeishusei2015.01100.1.4： 成文b(ɑŋ)章。
kyomeishusei2015.01100.1.5： 上有d(u)守。
kyomeishusei2015.01100.1.6： 辟d(u)不。
kyomeishusei2015.01100.1.7： 福祿氏e(ioŋ)從。
kyomeishusei2015.01100.1.8： 大富b(ɑŋ)昌。
kyomeishusei2015.01100.1.9： 冝牛b(ɑŋ)羊。
kyomeishusei2015.01100.1.10： 爲吏高f(iŋ)升。
kyomeishusei2015.01100.1.11： 至矦h(uɑŋ)王。
kyomeishusei2015.01100.1.12： 樂未i(iɑŋ)央。
kyomeishusei2015.01100.1.13： 夫妻相j(ɨai)冝。
kyomeishusei2015.01100.1.14： 師命b(ɑŋ)長。
kyomeishusei2015.01101.1.1： 吾作明a(iaŋ)竟。
kyomeishusei2015.01101.1.2： 幽湅三b(ɑŋ)商。
kyomeishusei2015.01101.1.3： 雕刻無c(ik)極。
kyomeishusei2015.01101.1.4： 配像萬d(iɑŋ)疆。
kyomeishusei2015.01101.1.5： 白牙陳e(ɔk)樂。
kyomeishusei2015.01101.1.6： 眾神見f(oŋ)容。
kyomeishusei2015.01101.1.7： 天禽四h(u)首。
kyomeishusei2015.01101.1.8： 銜持維b(ɑŋ)剛。
kyomeishusei2015.01101.1.9： 百精竝i(ən!)存。
kyomeishusei2015.01101.1.10： 福祿是j(ioŋ)從。
kyomeishusei2015.01101.1.11： 子孫番b(ɑŋ)昌。
kyomeishusei2015.01101.1.12： 師命 b(ɑŋ)長。
kyomeishusei2015.01102.1.1： 張氏元a(oŋ)公。
kyomeishusei2015.01102.1.2： 穀吾作b(iaŋ)鏡。
kyomeishusei2015.01102.1.3： 出自吳郡12 方格×1 c(iə)字。
kyomeishusei2015.01103.1.1： □□□□。
kyomeishusei2015.01103.1.2： □□□。
kyomeishusei2015.01103.1.3： 靑龍白a(ɑ)乕。
kyomeishusei2015.01103.1.4： 居左b(u)右。
kyomeishusei2015.01103.1.5： 神魚仙c(in)人。
kyomeishusei2015.01103.1.6： 赤松d(iə)子。
kyomeishusei2015.01103.1.7： 八爵相e(iɑŋ)向。
kyomeishusei2015.01103.1.8： 法古f(ə)始。
kyomeishusei2015.01103.1.9： 令人長h(ieŋ)命。
kyomeishusei2015.01103.1.10： 冝孫d(iə)子。
kyomeishusei2015.01103.1.11： 作吏高i(ian)遷。
kyomeishusei2015.01103.1.12： 車生二耳□。
kyomeishusei2015.01104.1.1： 周氏作a(iaŋ)竟。
kyomeishusei2015.01104.1.2： 四夷b(uk)服。
kyomeishusei2015.01104.1.3： 多賀國c(a)家。
kyomeishusei2015.01104.1.4： 人民d(ik)息。
kyomeishusei2015.01104.1.5： 胡虜殄e(iat)滅。
kyomeishusei2015.01104.1.6： 天下b(uk)復。
kyomeishusei2015.01104.1.7： 風雨時f(et)節。
kyomeishusei2015.01104.1.8： 五穀b(uk)熟。
kyomeishusei2015.01104.1.9： 長保h(i)二。
kyomeishusei2015.01105.1.1： 吾作明a(iaŋ)竟。
kyomeishusei2015.01105.1.2： 幽湅金b(ɑŋ)岡。
kyomeishusei2015.01105.1.3： 巧工造c(ɑk)作。
kyomeishusei2015.01105.1.4： 成文b(ɑŋ)章。
kyomeishusei2015.01105.1.5： 多賀國d(a)家。
kyomeishusei2015.01105.1.6： 人民蕃e(ik)息。
kyomeishusei2015.01105.1.7： 胡虜殄f(iat)滅。
kyomeishusei2015.01105.1.8： 天下h(uk)復。
kyomeishusei2015.01105.1.9： 風雨時i(et)節。
kyomeishusei2015.01105.1.10： 五穀h(uk)熟。
kyomeishusei2015.01105.1.11： 傳後d(a)世。
kyomeishusei2015.01105.1.12： 樂毌e(ik)極。
kyomeishusei2015.01106.1.1： 太元二a(en)年。
kyomeishusei2015.01106.1.2： 二月□。
kyomeishusei2015.01106.1.3： 風雨時b(et)節。
kyomeishusei2015.01106.1.4： 五穀c(uk)孰。
kyomeishusei2015.01106.1.5： 三上公□。
kyomeishusei2015.01106.1.6： □多d(u)壽。
kyomeishusei2015.01106.1.7： 長保二e(in)親。
kyomeishusei2015.01106.1.8： 得天f(ik)力。
kyomeishusei2015.01107.1.1： 甘露五a(en)年。
kyomeishusei2015.01107.1.2： 四月十六b(it)日。
kyomeishusei2015.01107.1.3： 左尚方師作c(iaŋ)竟。
kyomeishusei2015.01107.1.4： 靑且c(iaŋ)明。
kyomeishusei2015.01107.1.5： 君冝高d(uɑn)官。
kyomeishusei2015.01107.1.6： 位至三e(oŋ)公。
kyomeishusei2015.01107.1.7： 利子冝f(uən)孫。
kyomeishusei2015.01107.1.8： 延年益h(u)壽。
kyomeishusei2015.01108.1.1： 永安三a(en)年。
kyomeishusei2015.01108.1.2： 六月一日b(ou)造兮。
kyomeishusei2015.01108.1.3： 位至三c(oŋ)公。
kyomeishusei2015.01108.1.4： 子孫萬a(en)年。
kyomeishusei2015.01108.1.5： 冝矦d(uɑŋ)王。
kyomeishusei2015.01108.1.6： □□□。
kyomeishusei2015.01109.1.1： 公卿冝王。
kyomeishusei2015.01110.1.1： 佛□□王。
kyomeishusei2015.01111.1.1： 天紀三a(en)年。
kyomeishusei2015.01111.1.2： 王氏b(ɑk)作。
kyomeishusei2015.01111.1.3： 延年益c(u)壽。
kyomeishusei2015.01111.1.4： 冝子冝d(uən)孫。
kyomeishusei2015.01112.1.1： 太康三a(en)年。
kyomeishusei2015.01112.1.2： 歲壬b(i)寅。
kyomeishusei2015.01112.1.3： 二月廿c(it)日。
kyomeishusei2015.01112.1.4： 吾作d(iaŋ)竟。
kyomeishusei2015.01112.1.5： 幽湅三e(ɑŋ)商。
kyomeishusei2015.01112.1.6： 四夷f(uk)服。
kyomeishusei2015.01112.1.7： 多賀h(uək)國。
kyomeishusei2015.01112.1.8： 人民i(ik)息。
kyomeishusei2015.01112.1.9： 胡虜殄j(iat)滅。
kyomeishusei2015.01112.1.10： 天下f(uk)復。
kyomeishusei2015.01112.1.11： 風雨時k(et)節。
kyomeishusei2015.01112.1.12： 五穀f(uk)孰兮。
kyomeishusei2015.01113.1.1： 脩相a(iə)思。
kyomeishusei2015.01113.1.2： 毌相b(uɑŋ)忘。
kyomeishusei2015.01113.1.3： 常樂未c(iɑŋ)央。
kyomeishusei2015.01114.1.1： 脩相a(iə)思。
kyomeishusei2015.01114.1.2： 愼毌相b(uɑŋ)忘。
kyomeishusei2015.01114.1.3： 大樂未c(iɑŋ)央。
kyomeishusei2015.01115.1.1： 脩思a(im)甚。
kyomeishusei2015.01115.1.2： 悲慾b(en)見。
kyomeishusei2015.01115.1.3： 毌說相c(iə)思。
kyomeishusei2015.01115.1.4： 願毌d(iat)絕。
kyomeishusei2015.01116.1.1： 大樂貴a(u)富。
kyomeishusei2015.01116.1.2： 千秋萬b(ia)歲。
kyomeishusei2015.01116.1.3： 冝酒c(iə)食。
kyomeishusei2015.01117.1.1： 常貴a(u)富。
kyomeishusei2015.01117.1.2： 樂未b(iɑŋ)央。
kyomeishusei2015.01117.1.3： 長相c(iə)思。
kyomeishusei2015.01117.1.4： 毌相d(uɑŋ)忘。
kyomeishusei2015.01118.1.1： 安行徐a(ɑ)步。
kyomeishusei2015.01118.1.2： 新人如a(ɑ)故。
kyomeishusei2015.01119.1.1： 與天無a(ik)極。
kyomeishusei2015.01119.1.2： 與美相b(ɑŋ)長。
kyomeishusei2015.01119.1.3： 驩樂如c(ə)志。
kyomeishusei2015.01119.1.4： 長毋相d(uɑŋ)忘。
kyomeishusei2015.01120.1.1： 與天無a(ik)亟。
kyomeishusei2015.01120.1.2： 與地相b(ɑŋ)長。
kyomeishusei2015.01120.1.3： 驩樂如c(iɑn)言。
kyomeishusei2015.01120.1.4： 長毋相d(uɑŋ)忘。
kyomeishusei2015.01121.1.1： 見日之a(ɑŋ)光。
kyomeishusei2015.01121.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.01121.1.3： 服者君b(iɑŋ)卿。
kyomeishusei2015.01121.1.4： 延年千c(ia)歲。
kyomeishusei2015.01121.1.5： 幸至未b(iɑŋ)央。
kyomeishusei2015.01121.1.6： 常以a(ɑŋ)行。
kyomeishusei2015.01122.1.1： 有君子之a(uɑŋ)方。
kyomeishusei2015.01122.1.2： 視父如b(e)帝。
kyomeishusei2015.01122.1.3： 視母如a(uɑŋ)王。
kyomeishusei2015.01122.1.4： 愛其c(ei)弟。
kyomeishusei2015.01122.1.5： 敬其d(iaŋ)兄。
kyomeishusei2015.01122.1.6： 忠信以爲e(ɑu)高。
kyomeishusei2015.01123.1.1： 見日之a(ɑŋ)光。
kyomeishusei2015.01123.1.2： 服者君b(iɑŋ)卿。
kyomeishusei2015.01123.1.3： 千秋萬c(ia)歲。
kyomeishusei2015.01123.1.4： 願毌相d(uɑŋ)忘。
kyomeishusei2015.01124.1.1： 常富a(ui)貴。
kyomeishusei2015.01124.1.2： 安樂未b(iɑŋ)央。
kyomeishusei2015.01124.1.3： 羊至毌相c(uɑŋ)忘。
kyomeishusei2015.01125.1.1： 日有a(ɨ)憙。
kyomeishusei2015.01125.1.2： 冝酒b(iə)食。
kyomeishusei2015.01125.1.3： 長富c(ui)貴。
kyomeishusei2015.01125.1.4： 願相b(iə)思。
kyomeishusei2015.01125.1.5： 久毌見d(uɑŋ)忘。
kyomeishusei2015.01126.1.1： 時來何a(ɑŋ)傷。
kyomeishusei2015.01126.1.2： 君毌相b(uɑŋ)忘。
kyomeishusei2015.01127.1.1： 投博至a(iaŋ)明。
kyomeishusei2015.01127.1.2： 置酒高b(ɑŋ)堂。
kyomeishusei2015.01128.1.1： 金英陰a(ɑŋ)光。
kyomeishusei2015.01128.1.2： 冝美b(in)人。
kyomeishusei2015.01128.1.3： 以察衣c(uk)服。
kyomeishusei2015.01128.1.4： 無私b(in)親。
kyomeishusei2015.01129.1.1： 内a(ieŋ)淸。
kyomeishusei2015.01129.1.2： 以昭b(iaŋ)明。
kyomeishusei2015.01129.1.3： 光c(iɑŋ)象。
kyomeishusei2015.01129.1.4： 日d(iɑt)月。
kyomeishusei2015.01130.1.1： 見日之a(ɑŋ)光。
kyomeishusei2015.01130.1.2： 長毋相b(uɑŋ)忘。
kyomeishusei2015.01131.1.1： 鳳皇翼a(ək)翼。
kyomeishusei2015.01131.1.2： 在鏡a(ək)則。
kyomeishusei2015.01131.1.3： 致賀君b(a)家。
kyomeishusei2015.01131.1.4： 受大c(uk)福。
kyomeishusei2015.01131.1.5： 官位尊d(en)顯。
kyomeishusei2015.01131.1.6： 蒙祿＊。
kyomeishusei2015.01131.1.7： 幸達時d(en)年。
kyomeishusei2015.01131.1.8： 獲嘉a(ək)德。
kyomeishusei2015.01131.1.9： 長保二e(in)親。
kyomeishusei2015.01131.1.10： 得天f(ik)力。
kyomeishusei2015.01131.1.11： 傳之後b(a)世。
kyomeishusei2015.01131.1.12： 樂毋h(iə)巳。
kyomeishusei2015.01132.1.1： 新興辟a(ioŋ)雍。
kyomeishusei2015.01132.1.2： 建明b(ɑŋ)堂。
kyomeishusei2015.01132.1.3： 單于擧c(ɑ)土。
kyomeishusei2015.01132.1.4： 列矦d(uɑŋ)王。
kyomeishusei2015.01132.1.5： 將軍大e(uin)尹。
kyomeishusei2015.01132.1.6： 民戶b(ɑŋ)行。
kyomeishusei2015.01132.1.7： 八子九f(uən)孫。
kyomeishusei2015.01132.1.8： 治中h(iɑŋ)央。
kyomeishusei2015.01132.1.9： 常服此i(iaŋ)鏡。
kyomeishusei2015.01132.1.10： 壽命b(ɑŋ)長。
kyomeishusei2015.01133.1.1： 角王鉅a(iɑ)虛。
kyomeishusei2015.01133.1.2： 辟不b(iɑŋ)詳。
kyomeishusei2015.01133.1.3： 七子九c(uən)孫。
kyomeishusei2015.01133.1.4： 治中b(iɑŋ)央。
kyomeishusei2015.01133.1.5： 倉龍白d(ɑ)乕。
kyomeishusei2015.01133.1.6： 神而e(iaŋ)明。
kyomeishusei2015.01133.1.7： 朱爵玄f(uɑ)武。
kyomeishusei2015.01133.1.8： 順陰h(ɑŋ)陽。
kyomeishusei2015.01134.1.1： 昭見明a(iaŋ)鏡。
kyomeishusei2015.01134.1.2： 知人b(ieŋ)請。
kyomeishusei2015.01134.1.3： 左龍右c(ɑ)乕。
kyomeishusei2015.01134.1.4： 辟天d(eŋ)菁。
kyomeishusei2015.01134.1.5： 朱爵玄e(uɑ)武。
kyomeishusei2015.01134.1.6： 法列b(ieŋ)星。
kyomeishusei2015.01134.1.7： 八子十二f(uən)孫。
kyomeishusei2015.01134.1.8： 居安d(eŋ)寧。
kyomeishusei2015.01134.1.9： 常冝酒h(iə)食。
kyomeishusei2015.01134.1.10： 樂長i(ɛŋ)生。
kyomeishusei2015.01134.1.11： 非有鬼j(in)神。
kyomeishusei2015.01134.1.12： 物自d(eŋ)成。
kyomeishusei2015.01135.1.1： 桼言之a(iə)紀。
kyomeishusei2015.01135.1.2： 從鏡b(ə)始。
kyomeishusei2015.01135.1.3： 調銅c(ek)錫。
kyomeishusei2015.01135.1.4： 去惡b(ə)宰。
kyomeishusei2015.01135.1.5： 刻鏤均d(ou)好。
kyomeishusei2015.01135.1.6： 冝孫a(iə)子。
kyomeishusei2015.01135.1.7： 長保二e(in)親。
kyomeishusei2015.01135.1.8： 樂毌a(iə)巳。
