kyomeishusei2015.00001.1.1： 脩相思、毌相忘。
kyomeishusei2015.02591.1.3： 上有仙人。
kyomeishusei2015.02591.1.4： 不知a老。
kyomeishusei2015.02591.1.5： 渴飮玉泉。
kyomeishusei2015.02591.1.6： 食飢a棗。
kyomeishusei2015.02591.1.7： 天下敖。
kyomeishusei2015.02592.1.1： 新有善銅。
kyomeishusei2015.02592.1.2： 出丹a陽。
kyomeishusei2015.02592.1.3： 和以銀錫。
kyomeishusei2015.02592.1.4： 淸且a明。
kyomeishusei2015.02592.1.5： 左龍右乕。
kyomeishusei2015.02592.1.6： 掌四a彭。
kyomeishusei2015.02592.1.7： 朱爵玄武。
kyomeishusei2015.02592.1.8： 順陰a陽。
kyomeishusei2015.02592.1.9： 八子九孫。
kyomeishusei2015.02592.1.10： 治中a央。
kyomeishusei2015.02593.1.1： 内而明而光湅石峰。
kyomeishusei2015.02593.1.2： 下之淸e見。
kyomeishusei2015.02593.1.3： 乃已知人。
kyomeishusei2015.02593.1.4： 菁心志a得。
kyomeishusei2015.02593.1.5： 樂長生趙。
kyomeishusei2015.02594.1.1： 長冝子孫。
kyomeishusei2015.02595.1.1： 富貴長壽冝子孫大吉。
kyomeishusei2015.02596.1.1： 尚方作鏡。
kyomeishusei2015.02596.1.2： 眞a巧。
kyomeishusei2015.02596.1.3： 上有仙人。
kyomeishusei2015.02596.1.4： 不知a老。
kyomeishusei2015.02597.1.1： 田氏作鏡。
kyomeishusei2015.02597.1.2： □。
kyomeishusei2015.02597.1.3： 多賀國家。
kyomeishusei2015.02597.1.4： 人民a息。
kyomeishusei2015.02597.1.5： 胡虜殄滅。
kyomeishusei2015.02597.1.6： 天下a復。
kyomeishusei2015.02597.1.7： 風雨時節。
kyomeishusei2015.02597.1.8： 五穀a熟。
kyomeishusei2015.02597.1.9： 長保二親。
kyomeishusei2015.02597.1.10： 得天a力。
kyomeishusei2015.02597.1.11： □□后世。
kyomeishusei2015.02597.1.12： 樂無a極。
kyomeishusei2015.02598.1.1： 尚方作鏡。
kyomeishusei2015.02598.1.2： 四夷a服。
kyomeishusei2015.02598.1.3： 多賀國家。
kyomeishusei2015.02598.1.4： 民a息。
kyomeishusei2015.02598.1.5： 胡虜朱滅。
kyomeishusei2015.02598.1.6： 天下a復。
kyomeishusei2015.02598.1.7： 風雨時節。
kyomeishusei2015.02598.1.8： 五穀a熟。
kyomeishusei2015.02598.1.9： 長保二親。
kyomeishusei2015.02598.1.10： 得天a力。
kyomeishusei2015.02598.1.11： 傳告。
kyomeishusei2015.02599.1.1： 騶氏作鏡。
kyomeishusei2015.02599.1.2： 四夷a服。
kyomeishusei2015.02599.1.3： 多賀國家。
kyomeishusei2015.02599.1.4： 人民a息。
kyomeishusei2015.02599.1.5： 胡虜殄滅。
kyomeishusei2015.02599.1.6： 天下a復。
kyomeishusei2015.02599.1.7： 風雨時節。
kyomeishusei2015.02599.1.8： 五穀a熟。
kyomeishusei2015.02599.1.9： 長保二親。
kyomeishusei2015.02599.1.10： 得天a力。
kyomeishusei2015.02599.1.11： 傳告后世。
kyomeishusei2015.02599.1.12： 樂無a極。
kyomeishusei2015.02600.1.1： 吳向里柏氏作竟。
kyomeishusei2015.02600.1.2： 四夷a服。
kyomeishusei2015.02600.1.3： 多賀國家。
kyomeishusei2015.02600.1.4： 人a民。
kyomeishusei2015.02600.1.5： 胡虜殄滅。
kyomeishusei2015.02600.1.6： 天下a復。
kyomeishusei2015.02600.1.7： 風雨時節。
kyomeishusei2015.02600.1.8： 五穀a熟。
kyomeishusei2015.02600.1.9： 長保二親。
kyomeishusei2015.02600.1.10： 得天a力。
kyomeishusei2015.02600.1.11： 傳告后世。
kyomeishusei2015.02600.1.12： 樂無a極兮。
kyomeishusei2015.02601.1.1： 東王公。
kyomeishusei2015.02602.1.1： 東王公。
kyomeishusei2015.02602.1.2： 西王a母。
kyomeishusei2015.02602.1.3： 女王二人。
kyomeishusei2015.02602.1.4： 盛a王。
kyomeishusei2015.02603.1.1： 田氏作。
kyomeishusei2015.02603.1.2： 四a服。
kyomeishusei2015.02603.1.3： 多賀國家。
kyomeishusei2015.02603.1.4： 人民a息。
kyomeishusei2015.02603.1.5： 胡虜殄滅。
kyomeishusei2015.02603.1.6： 天下a復。
kyomeishusei2015.02603.1.7： 風雨時。
kyomeishusei2015.02603.1.8： 五穀a熟。
kyomeishusei2015.02603.1.9： 長保二親。
kyomeishusei2015.02603.1.10： 得天a力。
kyomeishusei2015.02603.1.11： 傳告后世。
kyomeishusei2015.02603.1.12： 樂無a極。
kyomeishusei2015.02604.1.1： 長冝子孫。
kyomeishusei2015.02605.1.1： 作鏡。
kyomeishusei2015.02605.1.2： 眞大a巧。
kyomeishusei2015.02605.1.3： 上有山人。
kyomeishusei2015.02605.1.4： 不□a老。
kyomeishusei2015.02606.1.1： 吾作明鏡。
kyomeishusei2015.02606.1.2： 幽湅三a商。
kyomeishusei2015.02606.1.3： 雕模祖無。
kyomeishusei2015.02606.1.4： □□□a康。
kyomeishusei2015.02606.1.5： 自身興樂。
kyomeishusei2015.02606.1.6： 眾神貴a商。
kyomeishusei2015.02606.1.7： 天命向西游。
kyomeishusei2015.02606.1.8： 福祿自a天。
kyomeishusei2015.02606.1.9： 嬰常服。
kyomeishusei2015.02606.1.10： 爲富貴番a昌。
kyomeishusei2015.02606.1.11： 矦年番臣。
kyomeishusei2015.02606.1.12： 子 孫蕃a昌。
kyomeishusei2015.02606.1.13： 大吉祥。
kyomeishusei2015.02606.1.14： 其師命a長。
kyomeishusei2015.02607.1.1： 中平四年。
kyomeishusei2015.02607.1.2： 五月13 方格×4 a字。
kyomeishusei2015.02608.1.1： 吾作明鏡。
kyomeishusei2015.02608.1.2： 幽湅三a商。
kyomeishusei2015.02608.1.3： 雕刻萬畺。
kyomeishusei2015.02608.1.4： 四氣象a元。
kyomeishusei2015.02608.1.5： 六合言長。
kyomeishusei2015.02608.1.6： 其師命長12 方格×2 a字。
kyomeishusei2015.02609.1.1： 吾作明鏡。
kyomeishusei2015.02609.1.2： 幽湅三a商。
kyomeishusei2015.02609.1.3： 大吉兮11 方格×1 字。
kyomeishusei2015.02611.1.1： 尚方作鏡。
kyomeishusei2015.02611.1.2： 自有a紀。
kyomeishusei2015.02611.1.3： 除去不祥。
kyomeishusei2015.02611.1.4： 冝古市14 方格×1 a字。
kyomeishusei2015.02612.1.1： 吾自作明鏡。
kyomeishusei2015.02612.1.2： 幽湅三a商。
kyomeishusei2015.02612.1.3： 周刻無12 方格×1 字。
kyomeishusei2015.02613.1.1： 吾作明竟。
kyomeishusei2015.02613.1.2： 幽湅三a商。
kyomeishusei2015.02613.1.3： 規矩無涯。
kyomeishusei2015.02613.1.4： 刻萬a疆。
kyomeishusei2015.02613.1.5： 四氣象元。
kyomeishusei2015.02613.1.6： 六合□□。
kyomeishusei2015.02613.1.7： □□秉員。
kyomeishusei2015.02613.1.8： 通＊虛a空。
kyomeishusei2015.02613.1.9： 統德序道。
kyomeishusei2015.02613.1.10： 祇靈是a興。
kyomeishusei2015.02613.1.11： 白牙陳氏。
kyomeishusei2015.02613.1.12： 眾神見容□。
kyomeishusei2015.02614.1.1： 吳郡胡陽。
kyomeishusei2015.02614.1.2： 張元□□□□。
kyomeishusei2015.02614.1.3： 無自導于。
kyomeishusei2015.02614.1.4： 眾造爲a明。
kyomeishusei2015.02614.1.5： □□□萠。
kyomeishusei2015.02614.1.6： 四時永β別。
kyomeishusei2015.02614.1.7： 水□□王。
kyomeishusei2015.02614.1.8： 光□和a親。
kyomeishusei2015.02614.1.9： 富貴番昌。
kyomeishusei2015.02614.1.10： 百煉竝a存。
kyomeishusei2015.02614.1.11： 其師命長。
kyomeishusei2015.02615.1.1： 吾自作明竟。
kyomeishusei2015.02615.1.2： 幽湅商a三。
kyomeishusei2015.02615.1.3： 雕刻萬疆。
kyomeishusei2015.02615.1.4： 四夷＊a靑。
kyomeishusei2015.02615.1.5： □吉羊。
kyomeishusei2015.02615.1.6： 其師命a長。
kyomeishusei2015.02615.1.7： 12 形×2 字。
kyomeishusei2015.02616.1.1： 盖惟貨鏡。
kyomeishusei2015.02616.1.2： 變巧名a工。
kyomeishusei2015.02616.1.3： 攻山采錫。
kyomeishusei2015.02616.1.4： 伐石索a銅。
kyomeishusei2015.02616.1.5： □火爐冶。
kyomeishusei2015.02616.1.6： 幽湅三a商。
kyomeishusei2015.02616.1.7： 和□白□。
kyomeishusei2015.02616.1.8： 昌象月a明。
kyomeishusei2015.02616.1.9： 五帝□□。
kyomeishusei2015.02616.1.10： 建師四a方。
kyomeishusei2015.02616.1.11： 玄象□威。
kyomeishusei2015.02616.1.12： 白乕□□。
kyomeishusei2015.02616.1.13： 靑龍□。
kyomeishusei2015.02616.1.14： 其師命a長。
kyomeishusei2015.02617.1.1： 吾作明竟。
kyomeishusei2015.02617.1.2： 幽湅三a商。
kyomeishusei2015.02617.1.3： 周刻無□。
kyomeishusei2015.02619.1.1： 吾作明鏡。
kyomeishusei2015.02619.1.2： 幽湅三a商。
kyomeishusei2015.02619.1.3： 雕刻□祧。
kyomeishusei2015.02619.1.4： 配像萬a疆。
kyomeishusei2015.02619.1.5： 四氣像元。
kyomeishusei2015.02619.1.6： 六合設a張。
kyomeishusei2015.02619.1.7： 擧方秉員。
kyomeishusei2015.02619.1.8： 通距虛a空。
kyomeishusei2015.02619.1.9： 統德序道。
kyomeishusei2015.02619.1.10： 祇靈是a興。
kyomeishusei2015.02619.1.11： 白牙陳樂。
kyomeishusei2015.02619.1.12： 眾神見a容。
kyomeishusei2015.02619.1.13： 其師□□命長。
kyomeishusei2015.02620.1.1： 吾作明竟。
kyomeishusei2015.02620.1.2： 幽湅三a商。
kyomeishusei2015.02620.1.3： 周刻無亟。
kyomeishusei2015.02620.1.4： 天禽□□。
kyomeishusei2015.02620.1.5： 眾神□□。
kyomeishusei2015.02620.1.6： □此a竟。
kyomeishusei2015.02620.1.7： 高遷□公大夫。
kyomeishusei2015.02620.1.8： 長命久a壽。
kyomeishusei2015.02620.1.9： 冝子孫。
kyomeishusei2015.02620.1.10： a吉。
kyomeishusei2015.02621.1.1： 吾作明鏡。
kyomeishusei2015.02621.1.2： 幽湅三a商。
kyomeishusei2015.02621.1.3： 周刻無亟。
kyomeishusei2015.02621.1.4： 配像萬a疆。
kyomeishusei2015.02621.1.5： 白牙奏樂。
kyomeishusei2015.02621.1.6： 眾神見a容。
kyomeishusei2015.02621.1.7： 天禽竝存。
kyomeishusei2015.02621.1.8： 福祿是a從。
kyomeishusei2015.02621.1.9： 富貴□□。
kyomeishusei2015.02621.1.10： 子孫番a昌。
kyomeishusei2015.02621.1.11： □□□有馬。
kyomeishusei2015.02621.1.12： 三千萬 a白。
kyomeishusei2015.02625.1： 吾作明竟，□□咄叱諸史，何屈屈，急趣怒，書當自投，三公九卿，從書出駕，乘田乙□，跣□□□，入關□□，□黃□□，堂□□□，
kyomeishusei2015.02626.1.1： 建安四年。
kyomeishusei2015.02626.1.2： 六月辛巳a朔。
kyomeishusei2015.02626.1.3： 廿五日一已造。
kyomeishusei2015.02626.1.4： 吾作明a鏡。
kyomeishusei2015.02626.1.5： □□。
kyomeishusei2015.02627.1.1： 盖惟貨鏡。
kyomeishusei2015.02627.1.2： 變巧名a工。
kyomeishusei2015.02627.1.3： 攻山采錫。
kyomeishusei2015.02627.1.4： 伐石索a銅。
kyomeishusei2015.02627.1.5： ＊火爐冶。
kyomeishusei2015.02627.1.6： 幽湅三a商。
kyomeishusei2015.02627.1.7： □日曜。
kyomeishusei2015.02627.1.8： 象月a明。
kyomeishusei2015.02627.1.9： 五帝昔□。
kyomeishusei2015.02627.1.10： 建師四a方。
kyomeishusei2015.02627.1.11： 玄。
kyomeishusei2015.02628.1.1： 三朝王光。
kyomeishusei2015.02628.1.2： 日作半子□a王兮。
kyomeishusei2015.02631.1.1： 永安元年。
kyomeishusei2015.02631.1.2： 造作明a鏡。
kyomeishusei2015.02631.1.3： 可□□□。
kyomeishusei2015.02631.1.4： 服者老a壽。
kyomeishusei2015.02631.1.5： 作者長生。
kyomeishusei2015.02632.1.1： 永安七年。
kyomeishusei2015.02632.1.2： 九月三a日。
kyomeishusei2015.02632.1.3： 將軍楊勳。
kyomeishusei2015.02632.1.4： 所作a鏡。
kyomeishusei2015.02632.1.5： 百煉精銅。
kyomeishusei2015.02632.1.6： 服者萬a歲。
kyomeishusei2015.02632.1.7： 冝矦王。
kyomeishusei2015.02632.1.8： 公a卿。
kyomeishusei2015.02633.1.1： 三公九卿十二大夫。
kyomeishusei2015.02635.1.1： 建興□年。
kyomeishusei2015.02635.1.2： 五月壬a午。
kyomeishusei2015.02635.1.3： 造作□明竟。
kyomeishusei2015.02635.1.4： a服之。
kyomeishusei2015.02636.1.1： 赤烏元年。
kyomeishusei2015.02636.1.2： 五月制a造。
kyomeishusei2015.02636.1.3： 明竟。
kyomeishusei2015.02636.1.4： □□□□。
kyomeishusei2015.02636.1.5： 長樂未央。
kyomeishusei2015.02637.1.1： □赤烏□年。
kyomeishusei2015.02637.1.2： 王月丙午a朔。
kyomeishusei2015.02637.1.3： □日。
kyomeishusei2015.02637.1.4： 造作此a鏡。
kyomeishusei2015.02637.1.5： 服者吉□。
kyomeishusei2015.02638.1.1： 靑盖明鏡。
kyomeishusei2015.02638.1.2： 以發a陽。
kyomeishusei2015.02638.1.3： 攬睹四方。
kyomeishusei2015.02638.1.4： 照中a英。
kyomeishusei2015.02638.1.5： 朱鳥玄武。
kyomeishusei2015.02638.1.6： 師子a翔。
kyomeishusei2015.02638.1.7： 左龍右乕。
kyomeishusei2015.02639.1.1： 太康二年。
kyomeishusei2015.02639.1.2： 三月九a日。
kyomeishusei2015.02639.1.3： 吳郡工。
kyomeishusei2015.02639.1.4： 淸羊造a作。
kyomeishusei2015.02639.1.5： 之鏡。
kyomeishusei2015.02639.1.6： 東王a公。
kyomeishusei2015.02639.1.7： 西王母。
kyomeishusei2015.02639.1.8： 此里人豪a貴。
kyomeishusei2015.02639.1.9： 士患高遷。
kyomeishusei2015.02639.1.10： 三公丞相九a卿。
kyomeishusei2015.02640.1.1： 呂氏作鏡。
kyomeishusei2015.02640.1.2： 四夷a服。
kyomeishusei2015.02640.1.3： 多賀國家。
kyomeishusei2015.02640.1.4： 人民a息。
kyomeishusei2015.02640.1.5： 胡虜殄滅。
kyomeishusei2015.02640.1.6： 天下a復。
kyomeishusei2015.02640.1.7： 風雨時節。
kyomeishusei2015.02640.1.8： a五。
kyomeishusei2015.02641.1.1： 尚方作鏡。
kyomeishusei2015.02641.1.2： 自有a紀。
kyomeishusei2015.02641.1.3： 羊吉晴。
kyomeishusei2015.02641.1.4： 保父a母。
kyomeishusei2015.02641.1.5： 長冝兄弟。
kyomeishusei2015.02641.1.6： 夫孫a子。
kyomeishusei2015.02641.1.7： 爲吏高。
kyomeishusei2015.02641.1.8： 冝易a天兮。
kyomeishusei2015.02643.1.1： □□作。
kyomeishusei2015.02643.1.2： 四夷a服。
kyomeishusei2015.02643.1.3： 多賀國家。
kyomeishusei2015.02643.1.4： 人民a息。
kyomeishusei2015.02643.1.5： 胡虜殄滅。
kyomeishusei2015.02643.1.6： 天下a復。
kyomeishusei2015.02643.1.7： 風雨時節。
kyomeishusei2015.02643.1.8： 五穀a熟。
kyomeishusei2015.02643.1.9： 長保二親。
kyomeishusei2015.02643.1.10： 得天a力兮。
kyomeishusei2015.02644.1.1： 石氏作鏡。
kyomeishusei2015.02644.1.2： 四夷a服。
kyomeishusei2015.02644.1.3： 多賀國家。
kyomeishusei2015.02644.1.4： 人民a息。
kyomeishusei2015.02644.1.5： 胡虜殄滅。
kyomeishusei2015.02644.1.6： 天下a復。
kyomeishusei2015.02644.1.7： 風雨時節。
kyomeishusei2015.02644.1.8： 五穀a熟。
kyomeishusei2015.02644.1.9： 長保二親。
kyomeishusei2015.02644.1.10： a得。
kyomeishusei2015.02645.1.1： 孟氏作鏡。
kyomeishusei2015.02645.1.2： 世少a有。
kyomeishusei2015.02645.1.3： 倉龍在左。
kyomeishusei2015.02645.1.4： 白乕δ居。
kyomeishusei2015.02645.1.5： 右。
kyomeishusei2015.02646.1.1： 吳向里柏師作鏡。
kyomeishusei2015.02646.1.2： 四夷a服。
kyomeishusei2015.02646.1.3： 多賀國家。
kyomeishusei2015.02646.1.4： 人民a息。
kyomeishusei2015.02646.1.5： 胡虜殄滅。
kyomeishusei2015.02646.1.6： 天下a復。
kyomeishusei2015.02646.1.7： 風雨時節。
kyomeishusei2015.02646.1.8： 五穀a熟。
kyomeishusei2015.02646.1.9： 長保二親。
kyomeishusei2015.02646.1.10： 得天a力兮。
kyomeishusei2015.02647.1.1： 靑盖作鏡。
kyomeishusei2015.02647.1.2： 四夷a服。
kyomeishusei2015.02647.1.3： 多賀國家。
kyomeishusei2015.02647.1.4： 人民a息。
kyomeishusei2015.02647.1.5： 胡虜殄滅。
kyomeishusei2015.02647.1.6： 天下a復。
kyomeishusei2015.02647.1.7： 風雨時節。
kyomeishusei2015.02647.1.8： 五穀a熟。
kyomeishusei2015.02647.1.9： 長保二親。
kyomeishusei2015.02647.1.10： 得天a力。
kyomeishusei2015.02648.1.1： 靑盖作鏡。
kyomeishusei2015.02648.1.2： 自有a紀。
kyomeishusei2015.02648.1.3： 辟去不詳。
kyomeishusei2015.02648.1.4： 冝古a市。
kyomeishusei2015.02648.1.5： 長保二親。
kyomeishusei2015.02648.1.6： 孫a子。
kyomeishusei2015.02648.1.7： 爲吏高官。
kyomeishusei2015.02648.1.8： 壽命a久。
kyomeishusei2015.02649.1.1： □□□□□□、大毌傷、左龍右乕辟不祥、朱鳥玄武順陰陽、長保二親楽富昌、壽敝金石如。
kyomeishusei2015.02650.1.1： 長冝子孫。
kyomeishusei2015.02651.1.1： □□冝官。
kyomeishusei2015.02652.1.1： 内請質。
kyomeishusei2015.02652.1.2： 以昭a明。
kyomeishusei2015.02652.1.3： 光輝象。
kyomeishusei2015.02652.1.4： 夫日a月。
kyomeishusei2015.02652.1.5： 心忽。
kyomeishusei2015.02653.1.1： 内請質。
kyomeishusei2015.02653.1.2： 以昭a明。
kyomeishusei2015.02653.1.3： 光輝象。
kyomeishusei2015.02653.1.4： 夫日a月。
kyomeishusei2015.02653.1.5： 心忽。
kyomeishusei2015.02654.1.1： 長相思。
kyomeishusei2015.02654.1.2： 願毌相a忘。
kyomeishusei2015.02655.1.1： 見日之光。
kyomeishusei2015.02655.1.2： 天下太a陽。
kyomeishusei2015.02655.1.3： 所言必當。
kyomeishusei2015.02656.1.1： 日有喜。
kyomeishusei2015.02656.1.2： 冝酒a食。
kyomeishusei2015.02656.1.3： 長貴富。
kyomeishusei2015.02656.1.4： 樂無a事。
kyomeishusei2015.02657.1.1： 見日之光。
kyomeishusei2015.02657.1.2： 長毌相a忘。
kyomeishusei2015.02658.1.1： 絜淸白。
kyomeishusei2015.02658.1.2： 而事a君。
kyomeishusei2015.02658.1.3： 忘沄。
kyomeishusei2015.02658.1.4： 之合a明。
kyomeishusei2015.02658.1.5： 承玄。
kyomeishusei2015.02658.1.6： □流a澤。
kyomeishusei2015.02658.1.7： 恐疎。
kyomeishusei2015.02658.1.8： 而日a忘。
kyomeishusei2015.02658.1.9： 美人。
kyomeishusei2015.02658.1.10： 外承可a兌。
kyomeishusei2015.02658.1.11： 思而毋絕。
kyomeishusei2015.02659.1.1： 見日之光。
kyomeishusei2015.02659.1.2： 長不相a忘。
kyomeishusei2015.02660.1.1： 見日之光。
kyomeishusei2015.02660.1.2： 天下大a明。
kyomeishusei2015.02661.1.1： 内而淸而以昭而明而光而象而日月。
kyomeishusei2015.02662.1.1： 内而淸而以而昭而明而光而象夫而日月。
kyomeishusei2015.02663.1.1： 内而□1 而以而□2 而明而□3 而日而月而。
kyomeishusei2015.02664.1.1： 内而淸而以而昭而明而光而象而□1 而日而。
kyomeishusei2015.02665.1.1： 内而淸而以而昭而明而光而象而之而。
kyomeishusei2015.02665.1.2： 忽而日a月。
kyomeishusei2015.02666.1.1： 象日月。
kyomeishusei2015.02666.1.2： 冝官a秩。
kyomeishusei2015.02666.1.3： 世不絕。
kyomeishusei2015.02666.1.4： 保八a子。
kyomeishusei2015.02667.1.1： 上大山。
kyomeishusei2015.02667.1.2： 見仙a人。
kyomeishusei2015.02667.1.3： 食玉英。
kyomeishusei2015.02667.1.4： 飮澧a泉。
kyomeishusei2015.02667.1.5： 駕交龍。
kyomeishusei2015.02667.1.6： 乘浮a雲。
kyomeishusei2015.02667.1.7： 白乕引兮。
kyomeishusei2015.02667.1.8： 直上a天。
kyomeishusei2015.02667.1.9： 受長命。
kyomeishusei2015.02667.1.10： 壽万a年。
kyomeishusei2015.02667.1.11： 冝官秩。
kyomeishusei2015.02667.1.12： 保子a孫。
kyomeishusei2015.02668.1.1： 尚方御竟。
kyomeishusei2015.02668.1.2： 大毋a傷。
kyomeishusei2015.02668.1.3： 巧工刻之。
kyomeishusei2015.02668.1.4： 成文a章。
kyomeishusei2015.02668.1.5： 左龍右乕。
kyomeishusei2015.02668.1.6： 辟不a詳。
kyomeishusei2015.02668.1.7： 朱鳥玄武。
kyomeishusei2015.02668.1.8： 調陰a陽。
kyomeishusei2015.02668.1.9： 子孫備具。
kyomeishusei2015.02668.1.10： 居中a央。
kyomeishusei2015.02668.1.11： 長保二親。
kyomeishusei2015.02668.1.12： 樂不a昌。
kyomeishusei2015.02668.1.13： 壽敞金 石。
kyomeishusei2015.02668.1.14： 如矦a王兮。
kyomeishusei2015.02669.1.1： 上大山兮。
kyomeishusei2015.02669.1.2： 見神a人。
kyomeishusei2015.02669.1.3： 食玉英。
kyomeishusei2015.02669.1.4： 飮澧a泉。
kyomeishusei2015.02669.1.5： 駕非龍兮。
kyomeishusei2015.02669.1.6： 乘浮a雲。
kyomeishusei2015.02669.1.7： 白乕弓。
kyomeishusei2015.02669.1.8： 直上a天。
kyomeishusei2015.02669.1.9： 賜長命。
kyomeishusei2015.02669.1.10： 保子a孫。
kyomeishusei2015.02670.1.1： 王氏作竟。
kyomeishusei2015.02670.1.2： 眞大a好。
kyomeishusei2015.02670.1.3： 上有仙人。
kyomeishusei2015.02670.1.4： 不知a老。
kyomeishusei2015.02670.1.5： 渴飮玉泉。
kyomeishusei2015.02670.1.6： 飢食a棗。
kyomeishusei2015.02670.1.7： 浮遊天下。
kyomeishusei2015.02670.1.8： 敖四a海。
kyomeishusei2015.02670.1.9： 壽如金石。
kyomeishusei2015.02671.1.1： 日有熹。
kyomeishusei2015.02671.1.2： 月大a富。
kyomeishusei2015.02671.1.3： 樂毋事。
kyomeishusei2015.02671.1.4： 冝酒a食。
kyomeishusei2015.02671.1.5： 居必安。
kyomeishusei2015.02671.1.6： 勿憂a患。
kyomeishusei2015.02671.1.7： 竽瑟侍。
kyomeishusei2015.02671.1.8： 心中a驩。
kyomeishusei2015.02671.1.9： 以兮固。
kyomeishusei2015.02672.1.1： 長冝子孫。
kyomeishusei2015.02673.1.1： 見日之光。
kyomeishusei2015.02673.1.2： 長毋相a忘。
kyomeishusei2015.02674.1.1： 長冝子孫。
kyomeishusei2015.02675.1.1： 朝和□竟。
kyomeishusei2015.02675.1.2： □毋a傷。
kyomeishusei2015.02675.1.3： □□富貴。
kyomeishusei2015.02675.1.4： 不知a老兮。
kyomeishusei2015.02676.1.1： 嚴氏作竟。
kyomeishusei2015.02676.1.2： 四夷a服。
kyomeishusei2015.02676.1.3： 多賀國家。
kyomeishusei2015.02676.1.4： 人民a息。
kyomeishusei2015.02676.1.5： 胡虜滅殄。
kyomeishusei2015.02676.1.6： 天下a復。
kyomeishusei2015.02676.1.7： 風雨時節兮。
kyomeishusei2015.02677.1.1： 石氏作竟。
kyomeishusei2015.02677.1.2： 眞大a巧。
kyomeishusei2015.02677.1.3： 上有仙人。
kyomeishusei2015.02677.1.4： 不知a老。
kyomeishusei2015.02677.1.5： 渴飮玉湶。
kyomeishusei2015.02677.1.6： 飢食a棗。
kyomeishusei2015.02678.1.1： 尚方作竟。
kyomeishusei2015.02678.1.2： 大毋a傷。
kyomeishusei2015.02678.1.3： 左龍右乕。
kyomeishusei2015.02678.1.4： 居中a央兮。
kyomeishusei2015.02679.1.1： 長冝子孫。
kyomeishusei2015.02680.1.1： 長冝子孫。
kyomeishusei2015.02681.1.1： 長冝子孫。
kyomeishusei2015.02682.1： 不明
kyomeishusei2015.02683.1.1： 王氏作竟。
kyomeishusei2015.02683.1.2： 四夷a服。
kyomeishusei2015.02683.1.3： 多賀國家。
kyomeishusei2015.02683.1.4： 人民a息。
kyomeishusei2015.02683.1.5： 長保二親。
kyomeishusei2015.02683.1.6： 得天a力。
kyomeishusei2015.02684.1： 尚方作竟，眞大工，上有仙人，辟不羊，巧師刻，成文章，和□鉛錫，淸且明，買氏竟者，得富昌，□□諸王，孫子三公，□□□，
kyomeishusei2015.02685.1.1： 吳氏作明竟。
kyomeishusei2015.02685.1.2： 自有a紀。
kyomeishusei2015.02685.1.3： 靑龍白乕。
kyomeishusei2015.02685.1.4： 居左a右。
kyomeishusei2015.02685.1.5： 神魚仙人。
kyomeishusei2015.02685.1.6： 赤松a子。
kyomeishusei2015.02685.1.7： 以□泪向。
kyomeishusei2015.02685.1.8： 法古a始。
kyomeishusei2015.02685.1.9： 令人長命。
kyomeishusei2015.02685.1.10： 冝孫a子。
kyomeishusei2015.02685.1.11： 使姑童。
kyomeishusei2015.02685.1.12： 利父a母。
kyomeishusei2015.02685.1.13： 爲吏高 遷。
kyomeishusei2015.02686.1.1： 仙人。
kyomeishusei2015.02687.1.1： 西王。
kyomeishusei2015.02688.1.1： 袁氏作竟。
kyomeishusei2015.02688.1.2： 眞大a巧。
kyomeishusei2015.02688.1.3： 靑龍在左。
kyomeishusei2015.02688.1.4： 白乕居a右。
kyomeishusei2015.02688.1.5： 上有仙人。
kyomeishusei2015.02688.1.6： 不知a老。
kyomeishusei2015.02688.1.7： 渴飮玉泉。
kyomeishusei2015.02688.1.8： 凡食a棗。
kyomeishusei2015.02688.1.9： 千秋萬年。
kyomeishusei2015.02688.1.10： a主。
kyomeishusei2015.02689.1.1： 吾作明竟。
kyomeishusei2015.02689.1.2： 幽湅三a商。
kyomeishusei2015.02689.1.3： 敬奉賢良。
kyomeishusei2015.02689.1.4： 配像萬a畺。
kyomeishusei2015.02689.1.5： 左靑龍。
kyomeishusei2015.02689.1.6： 右白a乕兮。
kyomeishusei2015.02690.1.1： 吾作明竟。
kyomeishusei2015.02690.1.2： □宮a商。
kyomeishusei2015.02690.1.3： 周羅容象。
kyomeishusei2015.02690.1.4： 日帝天a皇。
kyomeishusei2015.02690.1.5： 伯牙彈琴。
kyomeishusei2015.02690.1.6： 黃帝除a兇。
kyomeishusei2015.02690.1.7： 朱鳥玄武。
kyomeishusei2015.02690.1.8： 白乕靑a龍。
kyomeishusei2015.02690.1.9： □□竟者。
kyomeishusei2015.02690.1.10： 位至三a公。
kyomeishusei2015.02690.1.11： 子孫蕃昌。
kyomeishusei2015.02691.1： 建安廿二年，十月辛卯朔，四日甲午，太歲在丁酉，時加未，師鄭豫作明鏡，幽三湅商，乃而淸眼，服者大得高遠，冝官位爲矦王，家
kyomeishusei2015.02692.1： 建安廿二年，十月辛卯朔，四日甲午，太歲在丁酉，時加未，師鄭豫作明鏡，幽三湅商，乃而淸眼，服者大得高遠，冝官位爲矦王，家
kyomeishusei2015.02693.1.1： 天紀元年。
kyomeishusei2015.02693.1.2： 閏月廿六a日。
kyomeishusei2015.02693.1.3： 造作明竟。
kyomeishusei2015.02693.1.4： □□□□。
kyomeishusei2015.02693.1.5： 上應星宿。
kyomeishusei2015.02693.1.6： 不辟不a祥。
kyomeishusei2015.02693.1.7： 服者□貴。
